Monthly_Income,Existing_EMI,Var1,Loan_Amount,Loan_Period,Loan_Info_Missing,Age,Age_Missing,DTI,Log_Income,Loan_to_Income,EMI_Zero_Flag,Gender,City_Category,Employer_Category1,Employer_Category2,Customer_Existing_Primary_Bank_Code,Primary_Bank_Type,Source,Source_Category,City_Code,Age_Bin,Approved
2000.0,0.0,0,31000.0,4.0,1,36.0,0,0.0,7.601402334583733,15.4999999225,1,0,0,0,3,0,1,0,6,0,2,0
3500.0,0.0,10,20000.0,2.0,0,29.0,0,0.0,8.160803920954665,5.714285697959183,1,1,0,2,0,1,1,0,6,2,1,0
2250.0,0.0,0,45000.0,4.0,0,33.0,0,0.0,7.719129840906732,19.99999991111111,1,1,2,2,3,2,0,15,1,124,1,0
3500.0,0.0,7,92000.0,5.0,0,27.0,0,0.0,8.160803920954665,26.285714210612245,1,1,2,0,3,2,0,15,1,475,1,0
10000.0,2500.0,10,50000.0,2.0,0,31.0,0,0.24999999975,9.210440366976517,4.9999999950000005,0,1,0,0,3,0,1,7,1,1,1,0
7000.0,0.0,0,31000.0,4.0,1,27.0,0,0.0,8.853808274977197,4.428571422244898,1,0,2,0,3,13,1,6,1,401,1,0
7500.0,0.0,10,130000.0,5.0,0,43.0,0,0.0,8.922791623969637,17.333333310222223,1,1,1,1,3,2,0,0,2,21,2,0
3000.0,0.0,0,30000.0,3.0,0,25.0,0,0.0,8.006700845440367,9.999999966666666,1,0,0,0,3,5,1,6,1,2,1,0
2500.0,0.0,7,66000.0,5.0,0,39.0,0,0.0,7.824445930877619,26.399999894399997,1,1,0,0,3,16,0,6,1,2,2,0
2500.0,0.0,0,31000.0,4.0,1,25.0,0,0.0,7.824445930877619,12.3999999504,1,0,1,0,3,51,2,0,1,13,1,0
2700.0,460.0,7,20000.0,5.0,0,32.0,0,0.17037036973936898,7.901377353792616,7.407407379972565,0,1,1,1,3,2,0,6,1,29,1,0
2899.4,255.0,0,30000.0,5.0,0,29.0,0,0.08794923057201755,7.972603937497437,10.3469683025903,0,1,2,2,3,5,1,0,4,31,1,0
2000.0,0.0,0,31000.0,4.0,1,25.0,0,0.0,7.601402334583733,15.4999999225,1,0,0,2,3,0,1,0,1,0,1,0
3150.0,1000.0,10,45000.0,5.0,0,32.0,0,0.3174603164525069,8.055475141757274,14.285714240362811,0,1,2,1,3,3,1,6,4,124,1,0
6000.0,0.0,7,104000.0,5.0,0,29.0,0,0.0,8.699681400989514,17.333333304444444,1,1,1,1,0,0,1,6,5,18,1,0
1200.0,0.0,0,31000.0,4.0,1,28.0,0,0.0,7.0909098220799835,25.83333311805556,1,0,0,0,3,22,0,6,2,5,1,0
4500.0,0.0,10,74000.0,5.0,0,39.0,0,0.0,8.412054873292933,16.444444407901237,1,1,1,0,3,2,0,6,4,15,2,0
4500.0,0.0,10,31000.0,4.0,1,34.0,0,0.0,8.412054873292933,6.888888873580247,1,0,0,1,3,0,1,6,1,3,1,0
2284.3,0.0,4,26000.0,2.0,0,23.0,0,0.0,7.7342525857388384,11.38204258905554,1,1,0,1,3,3,1,6,4,1,0,0
290.0,0.0,0,31000.0,4.0,1,32.0,0,0.0,5.673323267171493,100.0,1,0,0,2,3,10,1,6,2,0,1,0
850.0,0.0,0,31000.0,4.0,1,20.0,0,0.0,6.7464121285733745,36.47058780622838,1,0,1,0,3,1,1,6,1,50,0,0
20000.0,0.0,10,100000.0,5.0,0,30.0,0,0.0,9.90353755128617,4.9999999975,1,1,0,0,3,2,0,25,1,2,1,0
7500.0,0.0,7,98000.0,3.0,0,27.0,0,0.0,8.922791623969637,13.066666649244445,1,0,0,2,3,0,1,6,2,0,1,0
2100.0,133.3,4,20000.0,4.0,0,29.0,0,0.0634761901739229,7.650168700845001,9.52380947845805,0,1,0,1,3,0,1,0,1,2,1,0
1100.0,0.0,0,31000.0,4.0,1,22.0,0,0.0,7.00397413672268,28.18181792561984,1,0,0,0,3,2,0,6,2,2,0,0
1800.0,0.0,2,40000.0,5.0,0,34.0,0,0.0,7.496097345175956,22.22222209876543,1,1,0,2,3,1,1,6,2,0,1,0
4200.0,0.0,7,69000.0,5.0,0,34.0,0,0.0,8.343077871169383,16.428571389455783,1,1,0,2,3,3,1,6,2,2,1,0
2500.0,0.0,4,36000.0,5.0,0,31.0,0,0.0,7.824445930877619,14.3999999424,1,1,0,0,3,13,1,6,5,23,1,0
800.0,0.0,0,31000.0,4.0,1,24.0,0,0.0,6.68586094706836,38.74999951562501,1,0,0,0,3,21,0,6,5,3,0,0
12000.0,0.0,2,180000.0,5.0,0,20.0,0,0.0,9.392745258631441,14.9999999875,1,1,0,0,3,8,0,6,2,4,0,0
