列,类型,训练原始缺失%,验证原始缺失%,测试原始缺失%,填充/处理,拟合来源,缩尾/约束,验证未见过%,测试未见过%
Monthly_Income,数值,0.0,0.0,0.0,训练中位数,仅训练部分,训练P99上尾,—,—
Existing_EMI,数值,0.0028,0.0114,0.1904,训练中位数,仅训练部分,训练P99上尾,—,—
Var1,数值,0.0,0.0,0.0,训练中位数,仅训练部分,—,—,—
Loan_Amount,数值,36.1698,34.2315,46.5239,按期限条件中位数 → 训练全局中位数,仅训练部分,—,—,—
Loan_Period,数值,36.1698,34.2315,46.5239,训练全局中位数,仅训练部分,—,—,—
Loan_Info_Missing,数值,—,—,—,Loan_Amount 或 Loan_Period 原始缺失 -> 1,仅训练部分,—,—,—
Age,数值,0.0341,0.0568,0.1516,训练 Age 中位数,仅训练部分,—,—,—
Age_Missing,数值,—,—,—,原始 Age 缺失 -> 1,仅训练部分,—,—,—
DTI,数值,—,—,—,衍生,仅训练部分,"clip[0,5]",—,—
Log_Income,数值,—,—,—,log1p衍生,仅训练部分,—,—,—
Loan_to_Income,数值,—,—,—,衍生,仅训练部分,"clip[0,100]",—,—
EMI_Zero_Flag,数值,—,—,—,Existing_EMI==0 -> 1,仅训练部分,—,—,—
Gender,类别,0.0,0.0,0.0,'UNKNOWN'，训练未见类别 -> -1,仅训练部分,—,0.0,0.0
City_Category,类别,0.0171,0.0,3.1399,'UNKNOWN'，训练未见类别 -> -1,仅训练部分,—,0.0,0.0
Employer_Category1,类别,0.7759,0.9209,14.2385,'UNKNOWN'，训练未见类别 -> -1,仅训练部分,—,0.0,0.0
Employer_Category2,类别,0.0,0.0,0.0,'UNKNOWN'，训练未见类别 -> -1,仅训练部分,—,0.0,0.0
Customer_Existing_Primary_Bank_Code,类别,7.9098,9.4247,22.4575,'UNKNOWN'，训练未见类别 -> -1,仅训练部分,—,0.0,0.1282
Primary_Bank_Type,类别,7.9098,9.4247,22.4575,'UNKNOWN'，训练未见类别 -> -1,仅训练部分,—,0.0,0.0
Source,类别,0.0,0.0,0.0,'UNKNOWN'，训练未见类别 -> -1,仅训练部分,—,0.1137,0.0
Source_Category,类别,0.0,0.0,0.0,'UNKNOWN'，训练未见类别 -> -1,仅训练部分,—,0.0,0.0
City_Code,类别,0.0171,0.0,3.1399,'UNKNOWN'，训练未见类别 -> -1,仅训练部分,—,0.3865,0.3808
Age_Bin,类别,—,—,—,年龄分箱；原始 Age 缺失 -> -1,仅训练部分,—,—,—
